"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"54","04-Aug-20175415_29.prm",27.609,"BO.P.4.40-60.16",0.1243,0.0343,13.1885,0.8759,0.2418,161.4325,"BO","P","BO.P",NA,"16",4,40,60,50,50,0.102253092343212,"Aug-04"
"55","04-Aug-20175515_35.prm",28.148,"BO.P.3.60-100.16",0.098,0.0276,11.5643,0.5719,0.161,108.8189,"BO","P","BO.P",NA,"16",3,60,100,80,51,0.0803329139414757,"Aug-04"
"56","04-Aug-20175615_41.prm",26.913,"BO.P.4.60-100.16",0.1049,0.0282,11.7218,0.581,0.1564,105.804,"BO","P","BO.P",NA,"16",4,60,100,80,52,0.0856861208930896,"Aug-04"
"62","14-Jul-2017510_36.prm",26.687,"JP.E2.E.1.0-10.04",0.0421,0.0112,6.1347,0.9211,0.2458,158.874,"JP","E","JP.E2","E","04",1,0,10,5,1,0.0421,"Jul-14"
"63","14-Jul-2017610_42.prm",25.822,"JP.E2.E.4.0-10.04",0.028,0.0072,5.3747,0.7551,0.195,132.1017,"JP","E","JP.E2","E","04",4,0,10,5,2,0.028,"Jul-14"
"64","14-Jul-2017710_48.prm",26.261,"JP.E2.Ee1.2.0-10.16",0.0731,0.0192,7.6566,1.8389,0.4829,283.7805,"JP","E","JP.E2","Ee1","16",2,0,10,5,3,0.0731,"Jul-14"
"65","14-Jul-2017810_53.prm",27.412,"JP.E2.Ee2.2.0-10.16",0.0714,0.0196,7.7257,1.7647,0.4838,284.2264,"JP","E","JP.E2","Ee2","16",2,0,10,5,4,0.0714,"Jul-14"
"66","14-Jul-2017910_59.prm",28.417,"JP.E2.L.4.0-10.16",0.0211,0.006,5.138,0.5962,0.1694,118.6232,"JP","E","JP.E2","L","16",4,0,10,5,5,0.0211,"Jul-14"
"67","14-Jul-20171011_05.prm",28.603,"JP.E2.Ee1.4.0-10.16",0.0284,0.0081,5.5405,0.8012,0.2292,150.1022,"JP","E","JP.E2","Ee1","16",4,0,10,5,6,0.0284,"Jul-14"
"68","14-Jul-20171111_11.prm",28.68,"JP.E2.Ee2.4.0-10.16",0.0617,0.0177,7.3684,1.6348,0.4689,276.3794,"JP","E","JP.E2","Ee2","16",4,0,10,5,7,0.0617,"Jul-14"
"69","14-Jul-20171211_16.prm",27.502,"JP.E2.L.3.0-10.16",0.0387,0.0106,6.0218,0.7853,0.216,143.1583,"JP","E","JP.E2","L","16",3,0,10,5,8,0.0387,"Jul-14"
"70","14-Jul-20171311_22.prm",28.792,"JP.E2.Ee1.3.0-10.16",0.0466,0.0134,6.5551,1.2277,0.3535,215.5984,"JP","E","JP.E2","Ee1","16",3,0,10,5,9,0.0466,"Jul-14"
