"","run.date","ID","Wt.mg","N.mg","C.mg","N","C","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"213","_7_25_2018 11_04_03 AM_20","BO.E.4.60-100.16",26.973,0.018,0.17,0.068,0.629,"BO","E","BO.E",NA,"16",4,60,100,80,15,0.068,"7-25"
"222","_7_25_2018 11_09_04 AM_21","It.E2.4.60-100.16",25.888,0.02,0.403,0.078,1.555,"It","E","It.E2",NA,"16",4,60,100,80,16,0.078,"7-25"
"232","_7_25_2018 11_14_05 AM_22","It.E2.2.20-40.16",28.617,0.035,0.69,0.122,2.412,"It","E","It.E2",NA,"16",2,20,40,30,17,0.122,"7-25"
"242","_7_25_2018 11_19_06 AM_23","JP.E2.1.60-100.16",26.813,NA,0.087,NA,0.325,"JP","E","JP.E2",NA,"16",1,60,100,80,18,NA,"7-25"
"252","_7_25_2018 11_24_07 AM_24","JP.E2.2.60-100.16",26.442,0.007,0.064,0.028,0.243,"JP","E","JP.E2",NA,"16",2,60,100,80,19,0.028,"7-25"
"262","_7_25_2018 11_29_09 AM_25","JP.E2.3.60-100.16",28.205,0.007,0.065,0.026,0.231,"JP","E","JP.E2",NA,"16",3,60,100,80,20,0.026,"7-25"
"272","_7_25_2018 11_34_10 AM_26","JP.E2.4.60-100.16",28.185,0.006,0.043,0.021,0.152,"JP","E","JP.E2",NA,"16",4,60,100,80,21,0.021,"7-25"
"282","_7_25_2018 11_39_11 AM_27","JP.E2.4.40-60.16",27.649,0.008,0.083,0.028,0.3,"JP","E","JP.E2",NA,"16",4,40,60,50,22,0.028,"7-25"
"292","_7_25_2018 11_44_13 AM_28","JP.E2.3.40-60.16",26.83,0.007,0.067,0.027,0.248,"JP","E","JP.E2",NA,"16",3,40,60,50,23,0.027,"7-25"
"302","_7_25_2018 11_49_14 AM_29","JP.E2.2.40-60.16",28.181,0.009,0.096,0.032,0.341,"JP","E","JP.E2",NA,"16",2,40,60,50,24,0.032,"7-25"
"313","_7_25_2018 11_54_16 AM_30","JP.E2.1.40-60.16",27.918,0.008,0.072,0.029,0.259,"JP","E","JP.E2",NA,"16",1,40,60,50,25,0.029,"7-25"
"332","_7_25_2018 12_04_23 PM_32","JP.E2.1.20-40.16",28.004,0.01,0.096,0.035,0.344,"JP","E","JP.E2",NA,"16",1,20,40,30,27,0.035,"7-25"
"342","_7_25_2018 12_09_25 PM_33","JP.E2.2.20-40.16",27.31,0.009,0.084,0.032,0.307,"JP","E","JP.E2",NA,"16",2,20,40,30,28,0.032,"7-25"
"352","_7_25_2018 12_14_27 PM_34","JP.E2.3.20-40.16",28.558,0.011,0.137,0.039,0.479,"JP","E","JP.E2",NA,"16",3,20,40,30,29,0.039,"7-25"
"362","_7_25_2018 12_19_29 PM_35","JP.E2.4.20-40.16",26.722,0.008,0.088,0.03,0.329,"JP","E","JP.E2",NA,"16",4,20,40,30,30,0.03,"7-25"
