ID,N_04_pct,C_04_pct,BD_04_gcm3
JP.E2.E.1.40-60.04,0.031,0.370,NA
JP.E2.E.2.40-60.04,0.022,0.034,NA
JP.E2.E.3.40-60.04,0.025,0.101,NA
JP.E2.E.4.40-60.04,0.025,0.134,NA
JP.E2.E.1.60-100.04,0.022,0.202,NA
JP.E2.E.2.60-100.04,0.022,0.101,NA
JP.E2.E.3.60-100.04,0.022,0.269,NA
JP.E2.E.4.60-100.04,0.019,0.168,NA
JP.N.1.0-10.04,0.028,0.557,1.41
JP.N.2.0-10.04,0.034,0.688,1.41
JP.N.3.0-10.04,0.031,0.655,1.41
JP.N.4.0-10.04,0.034,0.491,1.41
JP.N.1.10-20.04,0.028,0.229,1.43
JP.N.2.10-20.04,0.022,0.360,1.43
JP.N.3.10-20.04,0.025,0.328,1.43
JP.N.4.10-20.04,0.028,0.524,1.43
JP.N.1.20-40.04,0.022,0.328,1.45
JP.N.2.20-40.04,0.019,0.393,1.45
JP.N.3.20-40.04,0.012,0.295,1.45
JP.N.4.20-40.04,0.015,0.328,1.45
JP.N.1.40-60.04,0.015,0.197,1.47
JP.N.2.40-60.04,0.012,0.098,1.47
JP.N.3.40-60.04,0.022,0.229,1.47
JP.N.4.40-60.04,0.019,0.229,1.47
JP.N.1.60-100.04,0.019,0.295,1.45
JP.N.2.60-100.04,0.019,0.198,1.45
JP.N.3.60-100.04,0.012,0.101,1.45
JP.N.4.60-100.04,0.028,0.198,1.45
JP.P.1.0-10.04,0.046,0.571,NA
JP.P.2.0-10.04,0.049,0.470,NA
JP.P.3.0-10.04,0.009,0.336,NA
JP.P.4.0-10.04,0.049,0.470,NA
JP.P.1.10-20.04,0.040,0.336,NA
JP.P.2.10-20.04,0.040,0.437,NA
JP.P.3.10-20.04,0.040,0.302,NA
JP.P.4.10-20.04,0.040,0.739,NA
JP.P.1.20-40.04,0.037,0.403,NA
JP.P.2.20-40.04,0.034,0.370,NA
JP.P.3.20-40.04,0.034,0.202,NA
JP.P.4.20-40.04,0.028,0.202,NA
JP.P.1.40-60.04,0.025,0.269,NA
JP.P.2.40-60.04,0.022,0.269,NA
JP.P.3.40-60.04,0.034,0.295,NA
JP.P.4.40-60.04,0.022,0.197,NA
JP.P.1.60-100.04,0.022,0.230,NA
JP.P.2.60-100.04,0.025,0.262,NA
JP.P.3.60-100.04,0.019,0.295,NA
JP.P.4.60-100.04,0.019,0.328,NA
