McMahon_aband
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	Ta	Ta	Ta	Ta	W	W	W	W	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	
TM.E.4.40-60.16	TQ Powders	9/4/2018 1:27:58 PM	10.3727	0.3302	0.0086	9.3073	0.011	17.26	0.04	918.8583	0.0025	19.56	0.03	1961.8506	0.00001	0.01962	0.00052	9.6354	0.0016	0.01027	0.00043	4.5335	0.00063	0.00138	0.00016	2.5205	0.00064	0.5415	0.0012	1437.4048	0.00001	0.00786	0.00022	45.2205	0.00049	7660	9	7612.5946	0.1	67.1	0.6	172.9511	0.3	160.6	0.6	535.3318	0.4	40440	40	25534.4252	0.1	< 10	(2.9)	2.3260	10	34.7	0.8	43.4487	1.2	34.7	0.8	54.7964	0.9	17.0	0.4	38.2209	0.6	18.6	0.4	57.6757	0.6	< 0.5	(0.0)	0.0000	0.5	3.4	0.3	16.1465	0.3	< 0.5	(0.0)	0.0000	0.5	3.3	0.2	21.1598	0.3	7.4	0.1	83.9391	0.3	559.0	1.7	1025.3766	0.1	25.5	0.5	48.1516	0.9	3.4	0.3	10.5598	1.2	1.2	0.2	3.5826	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.6	(0.1)	2.1044	0.6	3.9	0.1	36.6398	0.9	2.5	0.3	5.9250	0.7	4.7	0.2	17.3992	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	0.0000	0.7	< 1.0	(0.0)	9.8708	1.0	132.8	2.2	226.6283	9.4	< 1.6	(0.0)	18.2354	1.6	1.4	0.2	4.8665	1.2									< 0.9	(0.0)	0.0000	0.8	< 0.7	(0.0)	3.1503	0.7	< 0.7	(0.0)	0.0000	0.7	18.8	0.5	47.7733	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.E.3.40-60.16	TQ Powders	9/4/2018 1:42:59 PM	10.6273	0.2184	0.0065	7.6502	0.012	16.36	0.04	842.6067	0.0015	19.66	0.03	1947.2321	0.00001	0.02400	0.00061	10.2767	0.0016	0.01750	0.00052	7.1851	0.00062	0.00178	0.00018	2.7940	0.00064	0.3515	0.0010	926.1459	0.00001	0.05444	0.00036	251.8144	0.00039	8056	9	7986.9762	0.1	72.9	0.6	186.6145	0.3	181.3	0.7	602.8053	0.4	43600	40	27198.0564	0.1	< 10	(6.5)	2.7927	10	34.4	0.8	42.1505	1.2	31.5	0.8	48.3917	0.9	16.8	0.4	36.7008	0.6	20.2	0.4	61.0549	0.6	< 0.5	(0.0)	0.0000	0.5	5.0	0.3	22.5225	0.3	< 0.5	(0.0)	0.0000	0.5	5.6	0.2	34.5526	0.3	10.2	0.2	110.9617	0.3	562.2	1.8	1003.4193	0.1	32.6	0.6	58.5825	0.9	2.0	0.3	7.3654	1.3	1.0	0.2	3.0773	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.7116	0.3	4.0	0.1	36.9404	0.9	2.7	0.3	6.2934	0.7	4.3	0.2	16.2820	0.7	6.6	0.4	16.0298	1.0	< 0.5	(0.0)	0.6810	0.5	< 0.7	(0.0)	0.0000	0.7	< 1.0	(0.0)	5.8267	1.0	107.7	2.1	199.1553	9.5	< 1.6	(0.0)	19.9333	1.6	1.2	0.2	4.7600	1.1									1.5	0.4	2.8605	0.9	< 0.7	(0.0)	3.2676	0.7	< 0.7	(0.0)	0.0000	0.7	14.3	0.5	35.2875	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.E.2.40-60.16	TQ Powders	9/4/2018 1:58:13 PM	11.2061	0.1217	0.0042	6.4358	0.012	18.49	0.04	975.3965	0.0013	15.44	0.03	1534.4861	0.00044	0.02190	0.00060	9.4339	0.0016	0.01137	0.00047	5.0580	0.00065	< 0.00062	(0.00051)	1.9076	0.00062	0.07837	0.00047	219.0233	0.00026	0.02150	0.00020	116.3308	0.00024	11010	10	11605.4993	0.1	98.6	0.7	261.4070	0.3	186.3	0.7	650.1938	0.4	56720	50	36905.0436	0.1	< 11	(7.0)	3.0750	11	37.8	0.9	45.0245	1.3	24.7	0.8	36.2871	1.0	22.9	0.5	47.7620	0.7	27.4	0.5	78.6616	0.7	< 0.7	(0.7)	1.5000	0.7	9.2	0.3	39.4371	0.4	< 0.5	(0.0)	0.0000	0.5	10.1	0.2	59.6118	0.3	6.5	0.2	67.8743	0.3	519.8	1.7	893.3847	0.1	42.5	0.6	72.6575	0.9	3.6	0.3	10.6319	1.2	1.3	0.2	3.7997	0.5	< 0.5	(0.5)	1.0839	0.5	< 0.6	(0.0)	2.0338	0.6	1.7	0.1	33.0040	0.9	2.4	0.3	5.4195	0.7	3.7	0.2	14.4073	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.3383	0.5	< 0.7	(0.0)	13.2747	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	43.3192	1.5	< 1.6	(0.0)	18.6998	1.6	1.8	0.3	5.4874	1.6									1.9	0.5	3.4875	1.0	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	16.3	0.6	38.4246	0.7	< 0.5	(0.0)	0.0000	0.5	
TM.E.1.40-60.16	TQ Powders	9/4/2018 2:13:32 PM	10.7136	0.1315	0.0044	6.5472	0.012	17.42	0.04	914.0348	0.0013	15.85	0.03	1586.3464	0.00001	0.02493	0.00067	9.4714	0.0015	0.01114	0.00045	4.9794	0.00062	< 0.00061	(0.00012)	1.6189	0.00060	0.1777	0.0007	498.0805	0.00015	0.01121	0.00018	66.5218	0.00030	9764	10	10338.5646	0.1	87.3	0.6	233.4465	0.3	202.6	0.7	713.8402	0.3	50690	50	33185.4117	0.1	< 3.0	(0.0)	2.0987	3.0	39.4	0.9	48.1470	1.3	34.2	0.8	52.2457	0.9	20.7	0.5	44.9249	0.7	23.6	0.5	70.7268	0.7	< 0.5	(0.0)	0.0000	0.5	7.7	0.3	34.2214	0.4	< 0.5	(0.0)	0.0000	0.5	6.5	0.2	39.8016	0.3	7.8	0.2	84.0968	0.3	456.1	1.6	806.5011	0.1	33.4	0.5	59.3312	0.9	2.7	0.3	8.7776	1.1	0.9	0.2	2.8689	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.6	(0.3)	2.3806	0.6	3.3	0.1	35.5987	0.9	2.2	0.3	4.9687	0.7	4.0	0.2	15.2357	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	13.6364	0.7	< 1.0	(0.0)	7.8864	1.0	31.4	1.0	115.3540	9.3	< 1.6	(0.0)	18.3576	1.6	< 1.5	(0.5)	4.2715	1.5									1.6	0.5	3.1851	0.9	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	15.5	0.6	37.9127	0.6	< 0.5	(0.0)	0.0000	0.5	
Cr.E.1.0-10.16	TQ Powders	9/4/2018 2:28:50 PM	13.2320	0.2981	0.0085	8.9806	0.013	19.29	0.04	1050.4874	0.0018	12.78	0.03	1309.6270	0.0015	0.02702	0.00071	11.0262	0.0017	0.01694	0.00055	7.8144	0.00072	0.00203	0.00020	3.1235	0.00066	0.5760	0.0013	1670.4935	0.00001	0.00933	0.00021	68.5640	0.00051	12460	10	13365.2151	0.1	126.5	0.8	336.3539	0.3	277.2	0.8	971.4197	0.4	85230	80	55667.5900	0.1	19.7	3.4	5.1420	11	23.2	1.0	27.5214	1.6	36.7	1.0	46.8039	1.2	23.5	0.7	42.3631	0.9	42.8	0.7	104.2424	0.8	2.6	0.5	4.8352	0.9	16.3	0.5	60.2578	0.4	< 0.5	(0.0)	0.0000	0.5	11.1	0.3	55.5979	0.3	27.7	0.3	246.7576	0.3	623.0	2.0	964.2885	0.1	47.2	0.7	74.0490	1.0	3.3	0.4	9.5688	1.4	1.3	0.2	3.6308	0.6	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.0236	0.5	2.8	0.1	34.5716	0.9	2.4	0.3	5.4037	0.7	3.2	0.2	13.0053	0.7	9.2	0.3	22.0884	0.9	< 1.2	(0.3)	4.7723	1.2	< 0.7	(0.0)	17.8383	0.7	< 1.0	(0.0)	14.0132	1.0	120.7	1.9	221.9891	7.8	< 1.6	(0.0)	16.6385	1.6	< 1.2	(0.0)	0.0000	1.2									2.1	0.6	3.4183	1.2	< 0.7	(0.0)	1.0956	0.7	< 0.7	(0.0)	0.0000	0.7	28.0	0.9	57.4385	0.8	< 0.5	(0.0)	0.0000	0.5	
Cr.E.2.0-10.16	TQ Powders	9/4/2018 2:44:11 PM	13.1621	0.2960	0.0084	8.8316	0.013	18.99	0.04	1007.8573	0.0018	13.93	0.03	1400.7922	0.0013	0.02322	0.00064	10.0938	0.0017	0.01512	0.00054	6.7401	0.00072	< 0.00066	(0.00053)	1.9315	0.00066	0.5745	0.0013	1620.1387	0.00001	0.00763	0.00019	58.1102	0.00051	11800	10	12337.9284	0.1	118.6	0.7	309.3450	0.3	204.7	0.7	702.9394	0.4	82200	80	52579.4840	0.1	< 12	(0.0)	2.7223	12	37.2	1.1	40.4845	1.7	33.1	1.0	42.2168	1.2	24.8	0.6	44.8809	0.9	38.4	0.7	94.1435	0.9	< 0.5	(0.0)	0.0000	0.5	14.3	0.5	53.0185	0.5	< 0.5	(0.0)	0.0000	0.5	9.0	0.3	45.1720	0.4	20.1	0.3	180.3532	0.3	616.3	2.0	953.7309	0.1	44.0	0.6	69.3346	1.0	3.9	0.4	10.6146	1.4	1.1	0.2	3.1091	0.6	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.7326	0.4	3.8	0.1	36.2401	0.9	2.2	0.3	4.7729	0.7	3.6	0.2	13.9787	0.7	9.0	0.3	21.4720	0.9	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	18.0593	0.7	< 1.0	(0.0)	7.4326	1.0	102.5	1.8	199.8791	8.0	< 1.6	(0.0)	16.6101	1.6	2.9	0.4	6.4927	2.0									< 1.3	(0.0)	0.0000	1.3	< 0.7	(0.0)	1.4121	0.7	< 0.7	(0.0)	0.0000	0.7	22.2	0.8	45.5796	0.8	< 0.5	(0.0)	0.0000	0.5	
Cr.E.3.0-10.16	TQ Powders	9/4/2018 2:59:31 PM	13.2901	0.1846	0.0061	7.2905	0.013	20.13	0.04	1058.4082	0.0017	12.57	0.03	1239.5359	0.0016	0.02557	0.00066	10.9612	0.0017	0.02268	0.00061	9.8262	0.00071	0.00157	0.00018	2.7285	0.00065	0.2555	0.0008	725.4879	0.00013	0.01401	0.00020	89.9436	0.00037	13430	10	14260.9418	0.1	132.7	0.7	348.8562	0.7	150.5	0.6	521.5745	0.4	85030	80	54673.8752	0.1	< 3.0	(0.0)	1.0383	3.0	38.0	1.1	40.9983	1.7	22.9	1.0	28.9425	1.2	26.6	0.7	47.6318	0.8	39.3	0.7	95.5232	0.9	2.4	0.5	4.4560	0.9	21.6	0.5	78.7951	0.5	< 0.5	(0.0)	0.0000	0.5	10.7	0.3	53.3280	0.4	19.0	0.3	167.7569	0.3	668.4	2.1	1021.3810	0.1	49.9	0.7	76.5312	1.0	3.4	0.4	9.5271	1.4	1.2	0.2	3.2201	0.6	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.5422	0.3	4.0	0.1	36.4619	0.9	2.3	0.3	5.0117	0.7	3.6	0.2	13.9698	0.7	9.7	0.4	22.8189	0.9	< 0.5	(0.0)	3.6922	0.5	< 0.7	(0.0)	18.5336	0.7	< 1.0	(0.0)	10.3139	1.0	29.1	0.8	114.8090	8.1	< 1.6	(0.0)	18.8768	1.6	< 2.0	(0.0)	4.5425	2.0									< 1.3	(0.0)	0.8220	1.3	< 0.7	(0.0)	0.8364	0.7	< 0.7	(0.0)	0.0000	0.7	18.4	0.9	37.5661	0.9	< 0.5	(0.0)	0.0000	0.5	
Cr.E.4.0-10.16	TQ Powders	9/4/2018 3:19:57 PM	13.4427	0.2076	0.0066	7.5306	0.013	20.53	0.04	1053.3844	0.0017	12.75	0.03	1227.6728	0.0016	0.02917	0.00073	11.3394	0.0017	0.01785	0.00057	7.6938	0.00073	0.00125	0.00016	2.4667	0.00066	0.2805	0.0009	780.0107	0.00100	0.00350	0.00010	39.2796	0.00038	13440	10	13982.2326	0.1	127.1	0.7	328.1734	0.8	172.5	0.7	586.8251	0.4	85250	80	53746.8238	0.1	< 12	(5.1)	3.1979	12	37.7	1.0	40.2161	1.6	29.5	1.0	36.7898	1.2	27.0	0.7	47.6969	0.8	41.3	0.7	99.1341	0.8	< 0.5	(0.0)	0.0000	0.5	21.4	0.5	77.1345	0.5	< 0.5	(0.0)	0.0000	0.5	11.5	0.3	56.8337	0.3	17.3	0.2	150.7142	0.3	657.2	2.0	992.1425	0.1	50.1	0.7	76.1779	1.0	4.0	0.4	10.5613	1.4	1.5	0.2	3.9949	0.6	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	2.8467	0.4	2.2	0.1	33.7053	0.9	2.2	0.3	4.8800	0.7	3.5	0.2	13.6233	0.7	9.7	0.3	22.9766	0.9	< 1.2	(0.0)	4.1863	1.2	< 0.7	(0.0)	16.6972	0.7	< 1.0	(0.0)	12.6784	1.0	28.4	0.8	114.2369	7.8	< 1.6	(0.0)	14.6189	1.6	3.7	0.5	7.1238	2.0									1.3	0.5	2.3127	1.2	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	20.1	0.9	40.3446	0.8	< 0.5	(0.0)	0.0000	0.5	
Cr.E.1.20-40.16	TQ Powders	9/4/2018 3:35:17 PM	13.1968	0.3025	0.0086	9.0117	0.013	19.11	0.04	1033.6463	0.0018	13.91	0.03	1415.5727	0.0014	0.01964	0.00057	9.5353	0.0017	0.00956	0.00047	4.5749	0.00074	0.00078	0.00011	2.1275	0.00066	0.5802	0.0013	1649.2081	0.00001	0.00254	0.00010	34.9502	0.00051	11860	10	12487.8559	0.1	126.0	0.8	330.1005	0.3	187.1	0.7	645.8690	0.4	83370	80	53781.3370	0.1	< 12	(0.0)	2.6101	12	37.7	1.0	40.9831	1.6	34.5	1.0	43.9970	1.2	24.5	0.6	44.2133	0.8	38.8	0.7	94.8293	0.8	1.0	0.5	1.9468	0.9	11.4	0.5	42.5982	0.5	< 0.5	(0.0)	0.0000	0.5	9.7	0.3	48.5971	0.3	19.4	0.2	173.9835	0.3	623.9	2.0	968.0600	0.1	44.2	0.6	69.6464	1.0	3.9	0.4	10.7092	1.4	1.2	0.2	3.2811	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.2	0.1	36.8845	0.9	2.2	0.3	4.9521	0.7	3.8	0.2	14.5147	0.7	9.5	0.4	22.8699	0.9	< 0.5	(0.0)	3.3542	0.5	< 0.7	(0.0)	16.9664	0.7	< 1.0	(0.0)	0.0000	1.0	110.6	1.8	210.2686	8.0	< 1.6	(0.0)	17.7228	1.6	4.6	0.5	7.7727	1.9									1.3	0.6	2.1631	1.2	< 0.7	(0.0)	1.8458	0.7	< 0.7	(0.0)	0.0000	0.7	27.4	0.8	56.3986	0.8	< 0.5	(0.0)	0.0000	0.5	
Cr.E.2.20-40.16	TQ Powders	9/4/2018 3:50:37 PM	13.6911	0.2728	0.0081	8.4464	0.013	20.20	0.04	1050.2877	0.0018	13.09	0.03	1280.2671	0.0016	0.02057	0.00060	9.4644	0.0017	0.00968	0.00048	4.5425	0.00076	< 0.00068	(0.00059)	1.9702	0.00067	0.5764	0.0013	1605.7073	0.00001	0.00226	0.00009	33.9753	0.00052	12720	10	13139.8054	0.1	128.3	0.8	328.6560	0.3	261.2	0.8	882.2313	0.4	87800	80	55157.1356	0.1	12.9	2.8	4.1532	12	20.3	1.0	24.1258	1.7	38.0	1.1	46.7951	1.2	22.1	0.7	38.4311	1.0	42.6	0.7	100.3679	0.8	1.5	0.5	2.7399	1.0	16.8	0.5	60.1198	0.5	< 0.5	(0.0)	0.0000	0.5	10.7	0.3	51.6693	0.4	26.8	0.3	230.2406	0.4	629.2	2.0	941.2243	0.1	47.3	0.7	71.9888	1.1	4.1	0.4	10.7886	1.4	1.2	0.2	3.3140	0.6	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.5036	0.3	1.7	0.1	32.8255	0.9	2.2	0.3	4.8259	0.7	3.4	0.2	13.5100	0.7	9.1	0.3	21.4805	0.9	< 0.5	(0.0)	3.6768	0.5	2.0	0.2	23.4520	1.8	< 1.0	(0.0)	10.1597	1.0	122.9	1.9	224.0820	7.8	< 1.6	(0.0)	14.6947	1.6	< 1.2	(0.0)	0.0000	1.2									< 1.3	(0.0)	0.4470	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	28.9	0.9	57.1924	0.8	< 0.5	(0.0)	0.0000	0.5	
Cr.E.3.20-40.16	TQ Powders	9/4/2018 4:05:59 PM	13.3409	0.1748	0.0059	7.2007	0.013	20.37	0.04	1088.1264	0.0016	12.67	0.03	1259.3696	0.0016	0.02101	0.00057	10.2618	0.0017	0.01077	0.00049	4.9669	0.00074	0.00464	0.00029	5.0872	0.00065	0.2601	0.0009	740.4017	0.00013	0.00671	0.00014	55.6384	0.00037	13790	10	14658.7817	0.1	126.4	0.7	332.6119	0.7	155.5	0.7	538.3588	0.4	85720	80	55290.5732	0.1	< 12	(5.6)	3.3201	12	39.5	1.1	42.4512	1.6	27.1	1.0	34.2596	1.2	26.9	0.6	48.0621	0.8	41.7	0.7	100.7202	0.9	< 0.5	(0.0)	0.0000	0.5	21.1	0.5	76.9573	0.5	< 0.5	(0.0)	0.0000	0.5	11.0	0.3	54.5574	0.3	18.4	0.3	162.5412	0.3	683.1	2.1	1046.0131	0.1	51.4	0.7	79.1539	1.0	4.1	0.4	11.0085	1.4	1.4	0.2	3.8481	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.6	(0.3)	2.4112	0.6	5.4	0.1	38.5662	0.9	2.0	0.3	4.3230	0.7	3.4	0.2	13.5171	0.7	10.5	0.4	24.9274	0.9	0.8	0.1	5.5530	0.7	3.4	0.3	25.5119	2.7	< 1.0	(0.0)	7.6597	1.0	28.1	0.8	114.0182	8.0	< 1.6	(0.0)	19.0509	1.6	4.4	0.5	7.7566	1.9									2.1	0.6	3.5231	1.2	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	22.6	0.9	46.0903	0.8	< 0.5	(0.0)	0.0000	0.5	
Cr.E.4.20-40.16	TQ Powders	9/4/2018 4:21:20 PM	13.3331	0.1690	0.0057	7.1330	0.013	20.19	0.04	1084.2128	0.0016	12.41	0.03	1242.7672	0.0016	0.01809	0.00051	9.7594	0.0017	0.01114	0.00051	5.0955	0.00074	0.00229	0.00021	3.3031	0.00065	0.2777	0.0009	797.8358	0.00011	0.00062	0.00002	27.0916	0.00038	13590	10	14579.6491	0.1	125.8	0.7	334.1495	0.7	153.9	0.6	538.1337	0.4	86660	80	56356.3425	0.1	< 12	(2.6)	2.9639	12	37.4	1.1	40.5460	1.7	28.1	1.0	35.4941	1.2	24.6	0.6	43.9479	0.9	42.1	0.7	101.7518	0.9	1.5	0.5	2.6865	0.9	19.6	0.5	71.8351	0.5	< 0.5	(0.0)	0.0000	0.5	11.3	0.3	56.3292	0.4	17.4	0.2	153.9491	0.3	685.6	2.1	1050.7758	0.1	51.0	0.7	78.7634	1.0	4.8	0.4	12.1910	1.4	1.3	0.2	3.6198	0.6	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	2.8692	0.4	4.3	0.1	36.9725	0.9	2.2	0.3	4.7941	0.7	3.8	0.2	14.5759	0.7	10.2	0.3	24.4305	0.9	< 0.5	(0.0)	3.5471	0.5	< 2.7	(0.9)	20.5443	2.7	< 1.0	(0.0)	0.0000	1.0	30.6	0.9	117.0313	7.9	< 1.6	(0.0)	16.3673	1.6	3.1	0.4	6.7601	2.0									< 1.3	(0.5)	1.1681	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	19.3	0.9	39.2757	0.9	< 0.5	(0.0)	0.0000	0.5	
Cr.E.1.60-100.16	TQ Powders	9/4/2018 4:36:40 PM	13.6651	0.2950	0.0085	8.5945	0.013	19.67	0.04	988.4789	0.0019	14.21	0.03	1360.3176	0.0014	0.01357	0.00044	8.1038	0.0018	0.00600	0.00043	2.8576	0.00077	< 0.00068	(0.0)	1.6200	0.00068	0.5861	0.0013	1587.5139	0.00001	0.00179	0.00008	30.3800	0.00052	12180	10	12258.7829	0.1	123.7	0.8	310.5613	0.3	174.6	0.7	577.3498	0.4	85360	80	52337.2436	0.1	19.5	3.5	4.8760	12	21.8	1.0	25.2000	1.7	33.9	1.0	41.5100	1.2	21.0	0.7	36.4502	0.9	40.4	0.7	95.2737	0.9	< 0.5	(0.0)	0.0000	0.5	13.3	0.5	47.5874	0.5	< 0.5	(0.0)	0.0000	0.5	5.1	0.2	24.5216	0.4	19.8	0.3	170.4072	0.3	635.0	2.0	943.8481	0.1	46.1	0.7	69.6875	1.1	2.9	0.3	8.5117	1.4	1.6	0.2	4.1895	0.6	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.2236	0.6	4.4	0.1	36.9445	0.9	1.9	0.3	4.1412	0.7	3.1	0.2	12.5563	0.7	9.0	0.4	21.2612	0.9	< 0.5	(0.0)	2.6320	0.5	< 2.7	(0.7)	20.5368	2.7	< 1.0	(0.0)	13.6188	1.0	108.0	1.8	206.1408	8.0	< 1.6	(0.0)	16.3524	1.6	< 1.2	(0.0)	0.0000	1.2									< 1.3	(0.8)	1.4699	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	23.5	0.8	46.2871	0.9	< 0.5	(0.0)	0.0000	0.5	
Cr.E.2.60-100.16	TQ Powders	9/4/2018 4:52:00 PM	13.5916	0.2851	0.0083	8.7263	0.013	19.77	0.04	1057.4870	0.0018	12.94	0.03	1299.9158	0.0016	0.01618	0.00050	8.9240	0.0017	0.00746	0.00045	3.6656	0.00076	< 0.00067	(0.00023)	1.7101	0.00067	0.5751	0.0013	1637.4933	0.00001	0.00172	0.00007	32.3061	0.00052	12820	10	13512.9302	0.1	126.4	0.8	330.2449	0.3	241.0	0.8	829.0890	0.4	88400	80	56658.8218	0.1	14.6	3.0	4.4533	12	21.7	1.0	25.6830	1.7	36.1	1.1	44.8395	1.3	21.8	0.7	38.3129	1.0	42.7	0.7	101.4473	0.9	< 0.9	(0.9)	1.6061	0.9	17.6	0.5	63.5871	0.5	< 0.5	(0.0)	0.0000	0.5	6.3	0.2	30.5160	0.4	26.8	0.3	232.4761	0.4	645.3	2.0	975.9092	0.1	48.4	0.7	74.0290	1.1	2.8	0.3	8.4193	1.4	1.4	0.2	3.7094	0.6	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.7088	0.4	4.0	0.1	36.3983	0.9	2.1	0.3	4.6977	0.7	3.6	0.2	14.1176	0.7	9.6	0.4	22.9030	0.9	< 0.5	(0.0)	1.8303	0.5	< 2.6	(0.7)	20.7067	2.6	< 1.0	(0.0)	14.6057	1.0	134.4	2.0	238.3156	7.9	< 1.6	(0.0)	15.8274	1.6	< 1.2	(0.0)	0.0000	1.2									1.4	0.6	2.3508	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	26.7	0.9	53.3080	0.9	< 0.5	(0.0)	0.0000	0.5	
Cr.E.3.60-100.16	TQ Powders	9/4/2018 5:07:19 PM	13.3813	0.1691	0.0057	7.1088	0.013	20.05	0.04	1066.0023	0.0016	12.77	0.03	1270.6059	0.0015	0.01487	0.00044	9.0910	0.0017	0.00881	0.00047	4.1028	0.00075	0.00179	0.00019	2.9040	0.00065	0.2609	0.0009	742.7020	0.00013	0.00155	0.00005	31.2928	0.00037	13650	10	14526.3740	0.1	125.8	0.7	331.4921	0.8	145.2	0.6	503.4822	0.4	86470	80	55759.4243	0.1	< 12	(9.3)	3.8062	12	38.3	1.1	41.1849	1.6	30.1	1.0	37.8001	1.2	26.2	0.7	46.6036	0.8	43.5	0.7	104.8146	0.8	1.5	0.5	2.6730	0.9	19.3	0.5	70.2977	0.5	< 0.5	(0.0)	0.0000	0.5	7.6	0.2	37.6548	0.4	18.3	0.2	160.6576	0.3	685.9	2.1	1046.0465	0.1	50.7	0.7	77.9126	1.0	4.1	0.4	10.8597	1.4	1.3	0.2	3.5354	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	2.5	0.1	34.0634	0.9	2.4	0.3	5.2127	0.7	3.5	0.2	13.8763	0.7	10.7	0.3	25.4601	0.9	< 1.2	(0.4)	4.6576	1.2	4.4	0.3	27.5596	2.6	< 1.0	(0.0)	0.0000	1.0	19.9	0.6	104.6155	7.9	< 1.6	(0.0)	15.9800	1.6	4.3	0.5	7.6123	2.0									< 1.3	(0.9)	1.7433	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	20.7	0.9	41.9113	0.8	< 0.5	(0.0)	0.0000	0.5	
