"","ID","N_pct","N_mg","N_area","C_pct","C_mg","C_area","nobs","Wt_mg","File.Name","CN_avgd"
"91","Bp.E1.T.2.10-20.16",0.0855,0.0224,13.32355,1.8843,0.49395,327.0127,2,NA,"02-Aug-20174314_05.prm",1
"92","Bp.E1.T.2.20-40.16",0.1247,0.0366,11.0297,1.6197,0.4752,233.4423,1,29.34,"29-Jun-201742.prm",0
"93","Bp.E1.T.2.40-60.16",0.1051,0.0295,12.0255,1.3969,0.3919,259.0991,1,28.052,"04-Aug-20171912_07.prm",0
"94","Bp.E1.T.2.60-100.16",0.0978,0.0266,11.3319,1.2507,0.3405,225.679,1,27.225,"04-Aug-20173513_39.prm",0
"95","Bp.E1.T.3.0-10.16",0.1203,0.0356,10.8503,2.0169,0.5965,292.6635,1,29.574,"29-Jun-201713.prm",0
"96","Bp.E1.T.3.10-20.16",0.0799,0.0214,13.0883,1.83345,0.49525,327.5586,2,NA,"02-Aug-20174814_33.prm",1
"97","Bp.E1.T.3.20-40.16",0.1598,0.0468,12.8676,1.6095,0.4717,231.7004,1,29.305,"29-Jun-201738.prm",0
"98","Bp.E1.T.3.40-60.16",0.1085,0.0307,12.3206,1.4723,0.4166,275.2323,1,28.298,"04-Aug-20172312_30.prm",0
"99","Bp.E1.T.3.60-100.16",0.0956,0.0259,11.1531,1.205,0.3262,216.3367,1,27.067,"04-Aug-20173914_02.prm",0
"100","Bp.E1.T.4.0-10.16",0.1264,0.0333,10.4429,2.4662,0.6502,318.8918,1,26.365,"29-Jun-201723.prm",0
"101","Bp.E1.T.4.10-20.16",0.08505,0.02475,13.8209,1.7802,0.51835,342.7217,2,NA,"02-Aug-20175415_08.prm",1
"102","Bp.E1.T.4.20-40.16",0.0853,0.0246,8.8808,1.51,0.4354,214.014,1,28.837,"29-Jun-201732.prm",0
"103","Bp.E1.T.4.40-60.16",0.1082,0.0303,12.2147,1.4304,0.4002,264.5172,1,27.976,"04-Aug-20172612_48.prm",0
"104","Bp.E1.T.4.60-100.16",0.1154,0.0314,12.4923,1.2013,0.3271,216.9773,1,27.234,"04-Aug-20174414_31.prm",0
"105","Bp.E2.Ee1.1.0-10.16",0.1483,0.0405,21.6238,3.1085,0.8489,572.9257,1,27.308,"20-Jul-20171412_37.prm",0
"106","Bp.E2.Ee1.1.10-20.16",0.175,0.0484,16.6273,3.23755,0.89495,576.23065,2,NA,"04-Aug-2017610_52.prm",1
"107","Bp.E2.Ee1.1.40-60.16",0.0794,0.0214,17.2048,2.0589,0.5541,378.2637,1,26.911,"20-Jul-20172113_17.prm",0
"108","Bp.E2.Ee1.2.10-20.16",0.11985,0.03375,13.2558,1.7603,0.4952,331.18735,2,NA,"04-Aug-20171011_15.prm",1
"109","Bp.E2.Ee1.3.10-20.16",0.0836,0.0227,16.7408,1.8168,0.4923,325.7925,1,27.096,"26-Jul-20175816_23.prm",0
"110","Bp.E2.Ee1.4.10-20.16",0.1284,0.0339,19.3146,2.887,0.7617,502.1557,1,26.385,"26-Jul-20176216_47.prm",0
"111","Bp.E2.Ee2.1.0-10.16",0.144,0.0385,21.1565,3.2457,0.8676,585.2858,1,26.73,"20-Jul-20171612_48.prm",0
"112","Bp.E2.Ee2.1.10-20.16",0.15605,0.04145,15.02535,2.8441,0.7551,491.28885,2,NA,"04-Aug-2017510_46.prm",1
"113","Bp.E2.Ee2.1.40-60.16",0.0851,0.0219,17.3192,2.1646,0.5562,379.6819,1,25.696,"20-Jul-20172013_11.prm",0
"114","Bp.E2.Ee2.2.10-20.16",0.1153,0.0317,12.78705,1.6839,0.4632,312.3217,2,NA,"04-Aug-2017911_09.prm",1
"115","Bp.E2.Ee2.3.10-20.16",0.0901,0.0246,17.1816,1.8798,0.5127,339.1585,1,27.274,"26-Jul-20175916_29.prm",0
"116","Bp.E2.Ee2.4.10-20.16",0.088,0.0248,17.2367,2.3517,0.663,437.5164,1,28.191,"26-Jul-20176316_53.prm",0
"117","Bp.E2.L.1.0-10.16",0.1199,0.0323,19.7242,2.8533,0.7679,519.4786,1,26.913,"20-Jul-20171512_42.prm",0
"118","Bp.E2.L.1.10-20.16",0.1601,0.0428,15.3492,2.9531,0.7899,511.13005,2,NA,"04-Aug-2017710_58.prm",1
"119","Bp.E2.L.1.40-60.16",0.0888,0.0241,17.8346,2.2179,0.6018,409.7988,1,27.135,"20-Jul-20171913_05.prm",0
"120","Bp.E2.L.2.10-20.16",0.1024,0.02785,11.9256,1.80895,0.4911,327.8713,2,NA,"04-Aug-20171111_21.prm",1
"121","Bp.E2.L.3.10-20.16",0.0994,0.0268,17.6888,1.6832,0.4537,300.5713,1,26.958,"26-Jul-20175716_18.prm",0
"122","Bp.E2.L.4.10-20.16",0.1094,0.0297,18.3651,2.1179,0.5757,380.3906,1,27.183,"26-Jul-20176116_41.prm",0
"123","Bp.E2.T.1.10-20.16",0.22855,0.06325,20.01005,4.16175,1.1512,731.30705,2,NA,"04-Aug-2017811_04.prm",1
"124","Bp.E2.T.1.40-60.16",0.0737,0.0187,16.5874,1.9242,0.4884,334.938,1,25.385,"20-Jul-20171813_00.prm",0
"125","Bp.E2.T.2.0-10.16",0.0758,0.0197,16.8254,1.798,0.4678,321.2887,1,26.017,"20-Jul-20171712_54.prm",0
"126","Bp.E2.T.2.10-20.16",0.1045,0.02785,11.9428,1.8733,0.50025,331.8931,2,NA,"04-Aug-20171211_26.prm",1
"127","Bp.E2.T.3.10-20.16",0.1111,0.0299,18.4115,1.9441,0.5239,346.4573,1,26.946,"26-Jul-20175616_12.prm",0
"128","Bp.E2.T.4.10-20.16",0.1273,0.0356,19.7031,2.5529,0.7134,470.5204,1,27.945,"26-Jul-20176016_35.prm",0
"129","Eu.E2.Ee1.1.0-10.16",0.0832,0.0231,17.6025,1.8377,0.5099,349.0751,1,27.745,"20-Jul-20171212_25.prm",0
"130","Eu.E2.Ee1.1.10-20.16",0.0688,0.0197,10.135,1.4764,0.4223,284.2134,1,28.605,"02-Aug-20175816_04.prm",0
"131","Eu.E2.Ee1.2.10-20.16",0.0703,0.0203,10.2753,1.3552,0.3907,263.4954,1,28.833,"02-Aug-2017510_26.prm",0
"132","Eu.E2.Ee1.3.10-20.16",0.0902,0.0241,11.1892,1.8202,0.4864,326.2407,1,26.723,"02-Aug-20171211_06.prm",0
"133","Eu.E2.Ee1.4.10-20.16",0.0674,0.0182,9.7733,1.2102,0.326,221.0445,1,26.937,"02-Aug-20176116_21.prm",0
"134","Eu.E2.Ee2.1.0-10.16",0.0614,0.016,15.9646,1.38,0.3594,249.7194,1,26.043,"20-Jul-20171012_14.prm",0
"135","Eu.E2.Ee2.1.10-20.16",0.0681,0.0189,9.9601,1.3797,0.3838,258.9746,1,27.82,"02-Aug-20175715_58.prm",0
"136","Eu.E2.Ee2.2.10-20.16",0.0656,0.0176,9.6324,1.2266,0.3283,222.5302,1,26.763,"02-Aug-2017610_32.prm",0
"137","Eu.E2.Ee2.3.10-20.16",0.0608,0.016,9.2625,1.2052,0.3174,215.3899,1,26.334,"02-Aug-20171311_12.prm",0
"138","Eu.E2.Ee2.4.10-20.16",0.101,0.0273,11.9501,1.9434,0.5256,351.9351,1,27.046,"02-Aug-20175916_09.prm",0
"139","Eu.E2.L.1.0-10.16",0.0364,0.01,14.5729,0.9034,0.2473,175.7016,1,27.375,"20-Jul-2017912_08.prm",0
"140","Eu.E2.L.1.10-20.16",0.0858,0.0229,10.8916,2.1358,0.5692,380.5134,1,26.65,"02-Aug-20171411_18.prm",0
"141","Eu.E2.L.2.10-20.16",0.1004,0.0262,11.6783,1.9954,0.5204,348.5083,1,26.079,"02-Aug-2017810_44.prm",0
"142","Eu.E2.L.3.10-20.16",0.072,0.0188,9.935,1.7015,0.4449,298.9794,1,26.145,"02-Aug-20171111_01.prm",0
"143","Eu.E2.L.4.10-20.16",0.0782,0.0216,10.5904,1.5214,0.4203,282.8932,1,27.627,"02-Aug-20176016_15.prm",0
"144","Eu.E2.T.1.0-10.16",0.0432,0.0116,14.9375,1.1758,0.3147,220.2153,1,26.766,"20-Jul-20171112_20.prm",0
