"","X","stand","depth","year","ID","N_pct","C_pct","CN_avgd","measured_in","Eval_Date","Mass_coef","Mass_g","Mg_pct","Mg_int","Al_pct","Al_int","Si_pct","Si_int","P_pct","P_int","S_pct","S_int","Cl_pct","Cl_int","K_pct","K_int","Ca_pct","Ca_int","Ti_ppm","Ti_int","Mn_ppm","Mn_int","Fe_ppm","Fe_int","Cu_ppm","Cu_int","Zn_ppm","Zn_int","Rb_ppm","Rb_int","Sr_ppm","Sr_int","Zr_ppm","Zr_int","Nb_ppm","Nb_int","Mo_ppm","Mo_int","Pb_ppm","Pb_int","P_ppm","Ca_ppm","K_ppm","Mg_ppm","Fe_pct","site","LU","position","rep","inc_from","inc_to","elt","avgBD","BDsd","C_new","N_new","newest","oldmeas"
"31",31,"BO.P",15,"04","BO.P.2.10-20.04",0.12,1.987,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,2,10,20,NA,1.22,NA,2.22887773290333,0.178802636258181,4,4
"32",32,"BO.P",15,"04","BO.P.1.10-20.04",0.116,2.129,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,1,10,20,NA,1.22,NA,2.38287603076292,0.174271423434345,4,4
"33",33,"BO.P",30,"04","BO.P.3.20-40.04",0.08,1.242,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,3,20,40,NA,1.27,NA,1.42092891666811,0.133490508019817,4,4
"34",34,"BO.P",30,"04","BO.P.4.20-40.04",0.08,1.372,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,4,20,40,NA,1.27,NA,1.56191327386352,0.133490508019817,4,4
"35",35,"BO.P",30,"04","BO.P.1.20-40.04",0.098,1.419,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,1,20,40,NA,1.27,NA,1.61288454146494,0.153880965727081,4,4
"36",36,"BO.P",30,"04","BO.P.2.20-40.04",0.102,1.455,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,2,20,40,NA,1.27,NA,1.65192636345751,0.158412178550917,4,4
"37",37,"BO.P",30,"16","BO.P.1.20-40.16",0.1391,1.0529,0,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,1,20,40,NA,1.21767796366667,0.0390869019981942,1.0529,0.1391,16,16
"38",38,"BO.P",30,"16","BO.P.4.20-40.16",0.1364,1.0949,0,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,4,20,40,NA,1.21767796366667,0.0390869019981942,1.0949,0.1364,16,16
"39",39,"BO.P",30,"16","BO.P.3.20-40.16",0.1373,1.0855,0,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,3,20,40,NA,1.21767796366667,0.0390869019981942,1.0855,0.1373,16,16
"40",40,"BO.P",30,"16","BO.P.2.20-40.16",0.1443,1.1003,0,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,2,20,40,NA,1.21767796366667,0.0390869019981942,1.1003,0.1443,16,16
"41",41,"BO.P",5,"04","BO.P.3.0-10.04",0.163,2.484,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,3,0,10,NA,1.25,NA,2.76787177541192,0.227513174114423,4,4
"42",42,"BO.P",5,"04","BO.P.2.0-10.04",0.12,1.916,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,2,0,10,NA,1.25,NA,2.15187858397353,0.178802636258181,4,4
"43",43,"BO.P",5,"04","BO.P.1.0-10.04",0.13,1.774,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,1,0,10,NA,1.25,NA,1.99788028611393,0.190130668317772,4,4
